,singh_means,sinha_means,singh_stds,sinha_stds
TOTUSJH,390.4075126742154,69.00703067301966,355.16384263242395,166.39494225871965
USFLUX,6.336237058553847e+21,9.482838603905301e+20,6.17059776593072e+21,2.1692617242210594e+21
TOTUSJZ,7834669025953.846,1462281998802.7695,7255744438757.76,3522911516598.499
R_VALUE,2.878381769230769,0.49628558665872546,1.3889728627219216,1.056438906270343
TOTPOT,7.756819852106153e+22,9.746252909129413e+21,1.1560431494036117e+23,4.521672243891294e+22
AREA_ACR,249.79612794384616,77.80694664324002,242.58760375802063,151.27721456632054
SAVNCPP,1877125127418.4614,503858389082.464,2040407554389.1206,1107652905277.513
ABSNJZH,42.74552017844616,8.245630136986302,57.93215830221512,28.53800485037844
MEANPOT,4628.455816153847,2113.0766770795117,4094.36307211507,2078.0675995672245
SHRGT45,19.56044866769231,5.633005360333531,16.055442022833624,10.498119128387286
