name,data,tss
KNN,0h-24h Mean Timepoint,0.6988
RFC,0h-24h Mean Timepoint,0.6193
LR,0h-24h Mean Timepoint,0.6686
SVM,0h-24h Mean Timepoint,0.6585
KNN,10h-22h Mean Timepoint,0.6485
RFC,10h-22h Mean Timepoint,0.5846
LR,10h-22h Mean Timepoint,0.6608
SVM,10h-22h Mean Timepoint,0.6254
KNN,"24h Time-series, R_VALUE",0.700679348
RFC,"24h Time-series, R_VALUE",0.805706522
LR,"24h Time-series, R_VALUE",0.074728261
SVM,"24h Time-series, R_VALUE",0.675271739
KNN,"24h Time-series, 3 params",0.705163043
RFC,"24h Time-series, 3 params",0.772961957
LR,"24h Time-series, 3 params",0.120380435
SVM,"24h Time-series, 3 params",0.687771739
