parameter,f_score,f_score_norm
R_VALUE,7185.747734160732,1.0
TOTUSJZ,6662.418867514241,0.8800421310012847
TOTABSTWIST,6450.391135189575,0.8314409615277154
TOTUSJH,5984.102364659732,0.7245578698128929
USFLUX,5078.693161250106,0.5170192348646128
AREA_ACR,5075.6535181826885,0.5163224854052897
MEANPOT,4997.496402152834,0.4984072476197161
TOTFZ,4158.766516010754,0.30615290007747953
TOTBSQ,4118.289759474329,0.296874784980937
SAVNCPP,3665.432930188175,0.19307057377663162
TOTPOT,3279.4302431186147,0.10459072349556375
SHRGT45,3239.5324830633062,0.09544532644394299
EPSZ,2824.6315184550735,0.00034138945142248023
ABSNJZH,2823.1421709350716,0.0
